param, sample_num, both, eng, snum, other, correct, precise

1,1,7,40,27,169,74,30.45
1,2,26,131,78,339,235,40.94
1,3,2,8,20,77,30,28.04
1,4,7,21,60,91,88,49.16
1,5,7,21,72,147,100,40.49

3,1,10,44,41,148,95,39.09
3,2,41,116,104,313,261,45.47
3,3,3,7,26,71,36,33.64
3,4,5,22,58,94,85,47.49
3,5,13,18,91,125,122,49.39

5,1,9,40,46,148,95,39.09
5,2,59,86,175,254,320,55.75
5,3,2,9,32,64,43,40.19
5,4,7,22,59,91,88,49.16
5,5,15,20,115,97,150,60.73

7,1,14,33,79,117,126,51.85
7,2,70,86,206,212,362,63.07
7,3,2,5,39,61,46,42.99
7,4,9,23,63,84,95,53.07
7,5,23,17,113,94,153,61.94

9,1,19,30,86,108,135,55.56
9,2,78,68,225,203,371,64.63
9,3,3,5,38,61,46,42.99
9,4,5,23,57,94,85,47.49
9,5,22,14,123,88,159,64.37

11,1,18,34,84,107,136,55.97
11,2,73,71,223,207,367,63.94
11,3,2,2,41,62,45,42.06
11,4,3,21,54,101,78,43.58
11,5,18,16,133,80,167,67.61

13,1,23,29,96,95,148,60.91
13,2,72,77,206,219,355,61.85
13,3,2,3,39,63,44,41.12
13,4,9,20,51,99,80,44.69
13,5,24,15,127,81,166,67.21

15,1,29,21,112,81,162,66.67
15,2,67,81,215,211,363,63.24
15,3,2,5,38,62,45,42.06
15,4,7,21,55,96,83,46.37
15,5,29,6,139,73,174,70.45

17,1,31,17,107,88,155,63.79
17,2,65,78,229,202,372,64.81
17,3,3,3,38,63,44,41.12
17,4,4,25,52,98,81,45.25
17,5,26,8,141,72,175,70.85

19,1,35,18,104,86,157,64.61
19,2,73,71,223,207,367,63.94
19,3,2,3,35,67,40,37.38
19,4,5,26,54,94,85,47.49
19,5,26,8,148,65,182,73.68

21,1,32,19,111,81,162,66.67
21,2,75,72,225,202,372,64.81
21,3,2,3,36,66,41,38.32
21,4,6,23,56,94,85,47.49
21,5,27,8,145,67,180,72.87

