param, sample_num, both, eng, snum, other, correct, precise

1,1,1,1,3,238,5,2.06
1,2,52,102,46,374,200,34.84
1,3,0,11,12,84,23,21.5
1,4,3,6,5,165,14,7.82
1,5,0,3,5,239,8,3.24

2,1,0,1,4,238,5,2.06
2,2,29,125,35,385,189,32.93
2,3,0,6,2,99,8,7.48
2,4,2,8,1,168,11,6.15
2,5,0,5,4,238,9,3.64

3,1,1,1,3,238,5,2.06
3,2,22,133,28,391,183,31.88
3,3,0,4,3,100,7,6.54
3,4,1,9,1,168,11,6.15
3,5,0,6,2,239,8,3.24

4,1,1,1,3,238,5,2.06
4,2,22,133,28,391,183,31.88
4,3,0,4,3,100,7,6.54
4,4,1,9,1,168,11,6.15
4,5,0,6,2,239,8,3.24

5,1,0,1,2,240,3,1.23
5,2,18,131,28,397,177,30.84
5,3,0,7,3,97,10,9.35
5,4,1,10,1,167,12,6.7
5,5,2,3,1,241,6,2.43

6,1,0,1,2,240,3,1.23
6,2,18,131,28,397,177,30.84
6,3,0,7,3,97,10,9.35
6,4,1,10,1,167,12,6.7
6,5,2,3,1,241,6,2.43

7,1,0,2,3,238,5,2.06
7,2,20,111,27,416,158,27.53
7,3,0,4,3,100,7,6.54
7,4,1,9,0,169,10,5.59
7,5,1,2,2,242,5,2.02

8,1,0,2,3,238,5,2.06
8,2,20,111,27,416,158,27.53
8,3,0,4,3,100,7,6.54
8,4,1,9,0,169,10,5.59
8,5,1,2,2,242,5,2.02

9,1,0,2,2,239,4,1.65
9,2,14,100,19,441,133,23.17
9,3,1,0,4,102,5,4.67
9,4,1,12,4,162,17,9.5
9,5,1,3,4,239,8,3.24

10,1,0,2,2,239,4,1.65
10,2,14,100,19,441,133,23.17
10,3,1,0,4,102,5,4.67
10,4,1,12,4,162,17,9.5
10,5,1,3,4,239,8,3.24

1,1,2,2,6,233,10,4.12
1,2,34,134,39,367,207,36.06
1,3,0,8,6,93,14,13.08
1,4,3,10,5,161,18,10.06
1,5,0,5,3,239,8,3.24

2,1,1,3,4,235,8,3.29
2,2,15,168,20,371,203,35.37
2,3,0,4,1,102,5,4.67
2,4,0,14,1,164,15,8.38
2,5,0,4,3,240,7,2.83

3,1,1,4,4,234,9,3.7
3,2,17,164,22,371,203,35.37
3,3,0,3,0,104,3,2.8
3,4,1,8,2,168,11,6.15
3,5,0,5,2,240,7,2.83

4,1,1,4,4,234,9,3.7
4,2,17,164,22,371,203,35.37
4,3,0,3,0,104,3,2.8
4,4,1,8,2,168,11,6.15
4,5,0,5,2,240,7,2.83

5,1,1,4,5,233,10,4.12
5,2,18,144,20,392,182,31.71
5,3,0,9,0,98,9,8.41
5,4,1,11,3,164,15,8.38
5,5,1,4,1,241,6,2.43

6,1,1,4,5,233,10,4.12
6,2,18,144,20,392,182,31.71
6,3,0,9,0,98,9,8.41
6,4,1,11,3,164,15,8.38
6,5,1,4,1,241,6,2.43

7,1,0,3,4,236,7,2.88
7,2,15,122,22,415,159,27.7
7,3,1,3,1,102,5,4.67
7,4,0,11,2,166,13,7.26
7,5,0,3,2,242,5,2.02

8,1,0,3,4,236,7,2.88
8,2,15,122,22,415,159,27.7
8,3,1,3,1,102,5,4.67
8,4,0,11,2,166,13,7.26
8,5,0,3,2,242,5,2.02

9,1,1,4,5,233,10,4.12
9,2,12,93,25,444,130,22.65
9,3,0,0,1,106,1,0.93
9,4,1,8,2,168,11,6.15
9,5,0,3,3,241,6,2.43

10,1,1,4,5,233,10,4.12
10,2,12,93,25,444,130,22.65
10,3,0,0,1,106,1,0.93
10,4,1,8,2,168,11,6.15
10,5,0,3,3,241,6,2.43

