param, sample_num, both, eng, snum, other, correct, precise

165,1,137,17,75,14,229,94.24
165,2,370,39,109,56,518,90.24
165,3,53,10,18,26,81,75.7
165,4,34,10,49,86,93,51.96
165,5,90,2,115,40,207,83.81

170,1,140,14,74,15,228,93.83
170,2,375,34,106,59,515,89.72
170,3,57,9,19,22,85,79.44
170,4,31,13,50,85,94,52.51
170,5,92,3,112,40,207,83.81

175,1,136,15,75,17,226,93.0
175,2,374,36,109,55,519,90.42
175,3,53,11,18,25,82,76.64
175,4,31,9,51,88,91,50.84
175,5,92,3,113,39,208,84.21

180,1,134,16,77,16,227,93.42
180,2,370,37,110,57,517,90.07
180,3,55,12,18,22,85,79.44
180,4,28,14,48,89,90,50.28
180,5,90,3,114,40,207,83.81

185,1,137,15,74,17,226,93.0
185,2,369,36,112,57,517,90.07
185,3,52,11,21,23,84,78.5
185,4,27,14,50,88,91,50.84
185,5,87,2,119,39,208,84.21

190,1,141,14,70,18,225,92.59
190,2,374,38,107,55,519,90.42
190,3,53,11,18,25,82,76.64
190,4,26,16,47,90,89,49.72
190,5,91,2,113,41,206,83.4

195,1,139,13,72,19,224,92.18
195,2,365,42,108,59,515,89.72
195,3,54,10,17,26,81,75.7
195,4,26,17,51,85,94,52.51
195,5,91,2,112,42,205,83.0

200,1,135,12,76,20,223,91.77
200,2,365,42,109,58,516,89.9
200,3,54,9,17,27,80,74.77
200,4,28,14,45,92,87,48.6
200,5,87,2,116,42,205,83.0

205,1,135,13,77,18,225,92.59
205,2,371,39,106,58,516,89.9
205,3,47,12,17,31,76,71.03
205,4,27,14,46,92,87,48.6
205,5,85,5,109,48,199,80.57

210,1,133,14,79,17,226,93.0
210,2,369,40,106,59,515,89.72
210,3,46,10,16,35,72,67.29
210,4,27,13,47,92,87,48.6
210,5,85,3,105,54,193,78.14

170,1,140,14,74,15,228,93.83
170,2,375,34,106,59,515,89.72
170,3,57,9,19,22,85,79.44
170,4,31,13,50,85,94,52.51
170,5,92,3,112,40,207,83.81

171,1,144,14,71,14,229,94.24
171,2,376,36,102,60,514,89.55
171,3,58,8,15,26,81,75.7
171,4,32,11,48,88,91,50.84
171,5,94,4,110,39,208,84.21

172,1,138,15,76,14,229,94.24
172,2,379,35,98,62,512,89.2
172,3,58,9,16,24,83,77.57
172,4,31,13,49,86,93,51.96
172,5,92,2,112,41,206,83.4

173,1,136,16,77,14,229,94.24
173,2,378,33,103,60,514,89.55
173,3,54,9,17,27,80,74.77
173,4,29,14,52,84,95,53.07
173,5,95,2,109,41,206,83.4

174,1,137,15,75,16,227,93.42
174,2,374,36,109,55,519,90.42
174,3,53,11,19,24,83,77.57
174,4,32,11,49,87,92,51.4
174,5,93,2,113,39,208,84.21

175,1,136,15,75,17,226,93.0
166,1,134,19,77,13,230,94.65
166,2,369,41,107,57,517,90.07
166,3,52,11,17,27,80,74.77
166,4,33,12,48,86,93,51.96
166,5,92,3,112,40,207,83.81

167,1,137,16,75,15,228,93.83
167,2,374,38,105,57,517,90.07
167,3,58,10,16,23,84,78.5
167,4,32,12,52,83,96,53.63
167,5,90,3,113,41,206,83.4

168,1,134,17,78,14,229,94.24
168,2,373,39,104,58,516,89.9
168,3,56,10,18,23,84,78.5
168,4,32,13,47,87,92,51.4
168,5,90,3,113,41,206,83.4

169,1,137,18,74,14,229,94.24
169,2,374,38,105,57,517,90.07
169,3,57,8,17,25,82,76.64
169,4,31,11,48,89,90,50.28
169,5,94,2,111,40,207,83.81

